2023-12-22 06:54:22.077 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Starting KafkaRegulatorApplicationTests using Java 17.0.9 with PID 18068 (started by yongheelee in /Users/yongheelee/workspace/kafka-regulator/regulator/kafka-regulator)
2023-12-22 06:54:22.079 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - No active profile set, falling back to 1 default profile: "default"
2023-12-22 06:54:22.994 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Started KafkaRegulatorApplicationTests in 1.196 seconds (process running for 1.92)
2023-12-22 06:54:22.998 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Periodical Task...
2023-12-22 06:54:23.230 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Not yet.
2023-12-22 07:11:12.392 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Starting KafkaRegulatorApplicationTests using Java 17.0.9 with PID 19214 (started by yongheelee in /Users/yongheelee/workspace/kafka-regulator/regulator/kafka-regulator)
2023-12-22 07:11:12.394 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - No active profile set, falling back to 1 default profile: "default"
2023-12-22 07:11:13.240 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Started KafkaRegulatorApplicationTests in 1.103 seconds (process running for 1.78)
2023-12-22 07:11:13.244 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Periodical Task...
2023-12-22 07:11:13.424 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Not yet.
2023-12-22 07:16:45.306 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Starting KafkaRegulatorApplicationTests using Java 17.0.9 with PID 19613 (started by yongheelee in /Users/yongheelee/workspace/kafka-regulator/regulator/kafka-regulator)
2023-12-22 07:16:45.308 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - No active profile set, falling back to 1 default profile: "default"
2023-12-22 07:16:46.194 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Started KafkaRegulatorApplicationTests in 1.176 seconds (process running for 2.046)
